NrKR;ROURO;MURO;RAHF;NRMATKI;RMHF;NROJCA;ROHF;ROKWY;MIEWY;KGMLE;KGT£U;PRT£U;KGBIA£;PRBIA£
43391590;1995;12;0.5;43312379;0;1464142;1;1998;3;5446;208;3.82;173;3.17
53300166;1995;9;0.75;43370129;0.62;6118247;0.87;1998;1;6262;236;3.44;196;2.85
53305427;1997;4;0.84;43391024;0.68;3786344;1;1999;7;4643;171;3.68;140;3.01
43391548;1995;11;0.43;43332655;0;6118247;0.87;1998;1;5291;181;3.42;158;2.98
53305278;1997;2;0.75;33399621;0.5;551948;1;1999;10;4212;158;3.76;125;2.96
53300164;1995;9;0.62;33389050;0.25;1464142;1;1998;1;6587;207;3.14;182;2.77
53305388;1997;3;0.86;37789094;0.72;551948;1;1999;8;5448;186;3.41;170;3.12
53300124;1995;7;0.68;43352378;0.5;7097141;0.87;1997;10;3779;161;4.26;129;3.42
53305430;1997;4;0.68;43353134;0.37;551948;1;1999;8;4064;144;3.55;111;2.74
43391622;1996;1;0.61;43332348;0.47;1840910;0.75;1998;4;5650;199;3.52;166;2.94
43380755;1994;9;0.68;43352567;0.37;4719546;1;1997;6;5361;220;4.1;164;3.06
53300008;1995;4;0.37;13311567;0;572910;0.75;1997;5;3606;146;4.05;115;3.19
53305436;1997;4;0.5;27790601;0;551948;1;1999;12;4520;169;3.74;145;3.21
43391656;1996;2;0.62;43353124;0.25;9048647;1;1998;6;4393;199;4.52;139;3.17
43391661;1996;2;0.63;43352345;0.5;1363918;0.75;1998;4;6753;236;3.5;187;2.77
78168382;1993;3;0.87;68102622;0.81;4472340;0.94;1995;9;4736;224;4.73;152;3.21
78140752;1992;3;0.87;68153779;0.75;2485048;1;1994;10;4544;187;4.12;142;3.12
78146562;1992;3;0.81;58102298;0.62;2485048;1;1994;10;5283;186;3.53;154;2.91
78150366;1991;9;0.87;68156395;0.75;4690142;1;1994;12;5863;193;3.29;165;2.82
78199447;1995;3;0.68;68124672;0.37;1841142;1;1997;11;4342;202;4.65;151;3.47
